day,frames_count
2023-12-01T00:00:00Z,2113
2023-12-02T00:00:00Z,1761
2023-12-03T00:00:00Z,1440
2023-12-04T00:00:00Z,1932
2023-12-05T00:00:00Z,1924
2023-12-06T00:00:00Z,1854
2023-12-07T00:00:00Z,1857
2023-12-08T00:00:00Z,2053
2023-12-09T00:00:00Z,1819
2023-12-10T00:00:00Z,1729
2023-12-11T00:00:00Z,1841
2023-12-12T00:00:00Z,1965
2023-12-13T00:00:00Z,2199
2023-12-14T00:00:00Z,2181
2023-12-15T00:00:00Z,2328
2023-12-16T00:00:00Z,2630
2023-12-17T00:00:00Z,2081
2023-12-18T00:00:00Z,2206
2023-12-19T00:00:00Z,2361
2023-12-20T00:00:00Z,2501
2023-12-21T00:00:00Z,2434
2023-12-22T00:00:00Z,2341
2023-12-23T00:00:00Z,1718
2023-12-24T00:00:00Z,1781
2023-12-25T00:00:00Z,1639
2023-12-26T00:00:00Z,1640
2023-12-27T00:00:00Z,1840
2023-12-28T00:00:00Z,1912
2023-12-29T00:00:00Z,1818
2023-12-30T00:00:00Z,1705
2023-12-31T00:00:00Z,1828
2024-01-01T00:00:00Z,1684
2024-01-02T00:00:00Z,2274
2024-01-03T00:00:00Z,2620
2024-01-04T00:00:00Z,2609
2024-01-05T00:00:00Z,2631
2024-01-06T00:00:00Z,2301
2024-01-07T00:00:00Z,2249
2024-01-08T00:00:00Z,2951
2024-01-09T00:00:00Z,3190
2024-01-10T00:00:00Z,3081
2024-01-11T00:00:00Z,3054
2024-01-12T00:00:00Z,2673
2024-01-13T00:00:00Z,2302
2024-01-14T00:00:00Z,2007
2024-01-15T00:00:00Z,2373
2024-01-16T00:00:00Z,2608
2024-01-17T00:00:00Z,3013
2024-01-18T00:00:00Z,2903
2024-01-19T00:00:00Z,3198
2024-01-20T00:00:00Z,2551
2024-01-21T00:00:00Z,2396
2024-01-22T00:00:00Z,3087
2024-01-23T00:00:00Z,3257
2024-01-24T00:00:00Z,3246
2024-01-25T00:00:00Z,3107
