blockchain,nft_contract_address,transactions
base,0x273ca93a52b817294830ed7572aa591ccfa647fd,13430
base,0xbf47540eb3c1404dbcf61ca47dfa2d4c8e78c533,11855
base,0xa449b4f43d9a33fcdcf397b9cc7aa909012709fd,4389
base,0x3f433f14e6ace35bd11c6a8c6d8875daa68c6a80,3418
base,0xfdb192fb0213d48ecdf580c1821008d8c46bdbd7,1846
base,0x1195cf65f83b3a5768f3c496d3a05ad6412c64b7,1045
base,0xd1fcb4bdbde69f04540d2c52a81ae33abea46400,840
base,0xa1e57e6d8523fe3b9454d28a5b19e27bf7ba93af,582
base,0x2ad08b1132cb4f969361fd0aa9beeb8e55776bbc,401
base,0x2acebe69da6532c5b2ab47fc363b87c802606664,289
